Datetime,Ticker,Open,High,Low,Close,Volume
1996-03-18,EWW,10.375,10.375,10.375,10.375,100
1996-03-19,EWW,10.375,10.375,10.375,10.375,400
1996-03-20,EWW,10.6875,10.75,10.625,10.6875,26200
1996-03-21,EWW,10.625,10.625,10.625,10.625,5500
1996-03-22,EWW,10.75,10.8125,10.75,10.75,1500
1996-03-25,EWW,10.75,10.75,10.75,10.75,10000
1996-03-26,EWW,10.75,11.0,10.75,10.8125,29700
1996-03-27,EWW,11.125,11.125,10.5625,10.5625,6100
1996-03-28,EWW,10.625,10.6875,10.625,10.6875,21400
1996-03-29,EWW,10.625,10.625,10.625,10.625,3400
1996-04-01,EWW,10.8125,10.9375,10.8125,10.9375,12100
1996-04-02,EWW,10.875,10.9375,10.8125,10.8125,17200
1996-04-03,EWW,10.8125,10.875,10.8125,10.875,2600
1996-04-04,EWW,10.9375,10.9375,10.8125,10.875,1600
1996-04-08,EWW,10.75,10.75,10.5625,10.625,6400
1996-04-09,EWW,10.625,10.625,10.625,10.625,1100
1996-04-10,EWW,10.75,10.75,10.75,10.75,2500
1996-04-11,EWW,10.625,10.625,10.5625,10.5625,20500
1996-04-12,EWW,10.5,11.1875,10.5,11.1875,3400
1996-04-15,EWW,11.125,11.375,11.125,11.375,1200
1996-04-16,EWW,11.375,11.375,11.25,11.3125,29900
1996-04-17,EWW,11.3125,11.75,11.3125,11.625,18000
1996-04-18,EWW,11.625,11.875,11.625,11.875,16700
1996-04-19,EWW,12.0,12.0625,11.5625,12.0625,20300
1996-04-22,EWW,11.875,12.125,11.875,12.0,3500
1996-04-23,EWW,12.0,12.0,11.75,11.875,3600
1996-04-24,EWW,11.875,11.875,11.8125,11.8125,6500
1996-04-25,EWW,11.8125,11.8125,11.625,11.6875,10100
1996-04-26,EWW,11.875,11.875,11.75,11.75,63600
1996-04-29,EWW,11.625,11.625,11.5,11.5,11300
1996-04-30,EWW,11.5,11.5625,11.5,11.5625,3600
1996-05-01,EWW,11.625,11.625,11.4375,11.625,2800
1996-05-02,EWW,11.625,11.625,11.25,11.25,4700
1996-05-03,EWW,11.5,11.5,11.3125,11.3125,9700
1996-05-06,EWW,11.0625,11.0625,11.0,11.0,10800
1996-05-07,EWW,11.25,11.3125,11.125,11.125,2600
1996-05-08,EWW,11.3125,11.4375,11.25,11.4375,53100
1996-05-09,EWW,11.5,11.5625,11.5,11.5625,1600
1996-05-10,EWW,11.5625,11.625,11.5625,11.625,11400
1996-05-13,EWW,11.625,11.6875,11.625,11.6875,2000
1996-05-14,EWW,11.875,11.875,11.75,11.75,4700
1996-05-15,EWW,11.8125,11.8125,11.75,11.75,2000
1996-05-16,EWW,11.6875,11.6875,11.625,11.6875,2400
1996-05-17,EWW,11.5,11.8125,11.5,11.8125,27500
1996-05-20,EWW,11.875,11.9375,11.875,11.9375,52500
1996-05-21,EWW,12.0,12.125,12.0,12.125,7000
1996-05-22,EWW,12.0625,12.0625,12.0625,12.0625,51900
1996-05-23,EWW,12.0625,12.125,12.0625,12.0625,6600
1996-05-24,EWW,12.125,12.125,12.0,12.0,1600
1996-05-28,EWW,12.125,12.125,12.0625,12.0625,13200
1996-05-29,EWW,12.0625,12.0625,11.875,11.9375,6200
1996-05-30,EWW,11.8125,11.9375,11.75,11.8125,21100
1996-05-31,EWW,11.75,11.75,11.625,11.625,2600
1996-06-03,EWW,11.6875,11.6875,11.625,11.6875,700
1996-06-04,EWW,11.875,11.875,11.875,11.875,1500
1996-06-05,EWW,11.9375,11.9375,11.8125,11.8125,1200
1996-06-06,EWW,11.875,11.875,11.875,11.875,400
1996-06-07,EWW,11.625,11.625,11.625,11.625,700
1996-06-10,EWW,11.625,11.625,11.625,11.625,0
1996-06-11,EWW,11.6875,11.6875,11.625,11.625,3000
1996-06-12,EWW,11.5,11.5,11.5,11.5,200
1996-06-13,EWW,11.5,11.5,11.5,11.5,0
1996-06-14,EWW,11.4375,11.4375,11.4375,11.4375,1000
1996-06-17,EWW,11.4375,11.4375,11.4375,11.4375,0
1996-06-18,EWW,11.625,11.6875,11.5625,11.5625,142000
1996-06-19,EWW,11.75,11.75,11.6875,11.6875,2900
1996-06-20,EWW,11.75,11.75,11.5,11.625,2300
1996-06-21,EWW,11.5,11.5,11.5,11.5,2000
1996-06-24,EWW,11.3125,11.3125,11.125,11.125,5000
1996-06-25,EWW,11.375,11.375,11.375,11.375,200
1996-06-26,EWW,11.1875,11.3125,11.1875,11.3125,1400
1996-06-27,EWW,11.375,11.6875,11.375,11.6875,31600
1996-06-28,EWW,11.625,11.625,11.625,11.625,6900
1996-07-01,EWW,11.625,11.625,11.375,11.375,400
1996-07-02,EWW,11.375,11.4375,11.375,11.4375,4000
1996-07-03,EWW,11.5,11.5,11.375,11.375,3200
1996-07-05,EWW,11.125,11.125,11.0,11.0,33900
1996-07-08,EWW,11.0,11.0,10.75,10.75,900
1996-07-09,EWW,10.875,10.875,10.875,10.875,3000
1996-07-10,EWW,10.8125,11.0,10.8125,11.0,800
1996-07-11,EWW,10.875,10.875,10.625,10.625,4500
1996-07-12,EWW,10.875,10.875,10.875,10.875,600
1996-07-15,EWW,10.5,10.5,10.3125,10.3125,18400
1996-07-16,EWW,10.25,10.25,10.125,10.125,14200
1996-07-17,EWW,10.5,10.625,10.5,10.625,7800
1996-07-18,EWW,10.875,10.875,10.875,10.875,11500
1996-07-19,EWW,10.875,10.875,10.875,10.875,0
1996-07-22,EWW,10.75,10.75,10.6875,10.6875,8600
1996-07-23,EWW,10.625,10.75,10.625,10.625,30300
1996-07-24,EWW,10.5625,10.625,10.5,10.5,37900
1996-07-25,EWW,10.6875,10.6875,10.6875,10.6875,100
1996-07-26,EWW,10.625,10.625,10.5,10.5,25500
1996-07-29,EWW,10.6875,10.6875,10.4375,10.4375,11000
1996-07-30,EWW,10.625,10.625,10.5625,10.5625,2100
