ticker,2026-04-15,2026-04-16,2026-04-17,2026-05-20,2026-05-21,2026-05-22,2026-05-26
AUDUSD=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
CL=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
EURUSD=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
EWA,FALI,FALI,FALI,FALI,FALI,FALI,FALI
EWC,FALI,FALI,FALI,FALI,FALI,FALI,FALI
EWG,FALI,FALI,FALI,FALI,FALI,FALI,FALI
EWH,FALI,FALI,FALI,FALI,FALI,FALI,FALI
EWJ,FALI,FALI,FALI,FALI,FALI,FALI,FALI
EWT,FALI,FALI,FALI,VRACENO,VRACENO,VRACENO,VRACENO
EWW,FALI,FALI,FALI,FALI,FALI,FALI,FALI
EWY,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
GBPUSD=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
GC=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
HG=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
IEF,FALI,FALI,FALI,FALI,FALI,FALI,FALI
NG=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
SHY,FALI,FALI,FALI,FALI,FALI,FALI,FALI
SI=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
SPY,VRACENO,VRACENO,VRACENO,FALI,FALI,FALI,FALI
TLT,FALI,FALI,FALI,FALI,FALI,FALI,FALI
USDAED=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
USDCAD=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
USDCHF=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
USDHKD=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
USDJPY=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
USDSAR=X,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
XLB,VRACENO,VRACENO,VRACENO,FALI,FALI,FALI,FALI
XLC,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
XLE,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
XLF,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
XLI,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
XLK,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
XLP,VRACENO,VRACENO,VRACENO,FALI,FALI,FALI,FALI
XLRE,FALI,FALI,FALI,FALI,FALI,FALI,FALI
XLU,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
XLV,VRACENO,VRACENO,VRACENO,FALI,FALI,FALI,FALI
XLY,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO,VRACENO
ZC=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
ZS=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
ZW=F,bilo OK,FALI,FALI,bilo OK,FALI,FALI,FALI
